Op. ,Title ,Key ,Date ,Scoring ,Genre 
1/1 ,Piano Trio No.1,Eb­ major ,1792-93 ,vn vc pf ,Chamber 
1/2 ,Piano Trio No.2,G major ,1792-94 ,vn vc pf ,Chamber 
1/3 ,Piano Trio No.3,C minor ,1792-94 ,vn vc pf ,Chamber 
2/1 ,Piano Sonata No.1 ,F minor ,1793-95 ,pf ,Keyboard 
2/2 ,Piano Sonata No.2 ,A major ,1794-95 ,pf ,Keyboard 
2/3 ,Piano Sonata No.3 ,C major ,1794-95 ,pf ,Keyboard 
3,String Trio ,Eb­ major ,1794,vn va vc ,Chamber 
4,String Quintet ,Eb­ major ,1795,2vn 2va vc ,Chamber 
5/1 ,Cello Sonata No.1 ,F major ,1796,vc pf ,Chamber 
5/2 ,Cello Sonata No.2 ,G minor ,1796,vc pf ,Chamber 
6,Sonata for Piano Four Hands in D major ,D major ,1796-97 ,pf4h ,Keyboard 
7,Piano Sonata No.4 ('Grand Sonata') ,Eb­ major ,1796-97 ,pf ,Keyboard 
8,Serenade ,D major ,1796-97 ,vn va vc ,Chamber 
9/1 ,String Trio No.1,G major ,1797-98 ,vn va vc ,Chamber 
9/2 ,String Trio No.2,D major ,1797-98 ,vn va vc ,Chamber 
9/3 ,String Trio No.3,C minor ,1797-98 ,vn va vc ,Chamber 
10/1 ,Piano Sonata No.5 ,C minor ,1795-97 ,pf ,Keyboard 
10/2 ,Piano Sonata No.6 ,F major ,1796-97 ,pf ,Keyboard 
10/3 ,Piano Sonata No.7 ,D major ,1797-98 ,pf ,Keyboard 
11,Trio in B-flat major ('Gassenhauer') ,Bb­ major ,1797-98 ,cl/vn vc pf ,Chamber 
12/1 ,Violin Sonata No.1 ,D major ,1797-98 ,vn pf ,Chamber 
12/2 ,Violin Sonata No.2 ,A major ,1797-98 ,vn pf ,Chamber 
12/3 ,Violin Sonata No.3 ,Eb­ major ,1797-98 ,vn pf ,Chamber 
13,Piano Sonata No.8 ('Pathétique') ,C minor ,1797-98 ,pf ,Keyboard 
14/1 ,Piano Sonata No.9 ,E major ,1798-99 ,pf ,Keyboard 
14/2 ,Piano Sonata No.10 ,G major ,1799,pf ,Keyboard 
15,Piano Concerto No.1 ,C major ,1795-1800 ,pf orch ,Orchestral 
16,Quintet in E-flat major ,Eb­ major ,1796-97 ,ob cl bn hn pf ,Chamber 
16a ,Quintet in E-flat major ,Eb­ major ,1796-97 ,vn va vc pf ,Chamber 
17,Horn Sonata ,F major ,1800,hn pf ,Chamber 
18/1 ,String Quartet No.1 ,F major ,1798-1800 ,2vn va vc ,Chamber 
18/2 ,String Quartet No.2 ,G major ,1798-1800 ,2vn va vc ,Chamber 
18/3 ,String Quartet No.3 ,D major ,1798-1800 ,2vn va vc ,Chamber 
18/4 ,String Quartet No.4 ,C minor ,1798-1800 ,2vn va vc ,Chamber 
18/5 ,String Quartet No.5 ,A major ,1798-1800 ,2vn va vc ,Chamber 
18/6 ,String Quartet No.6 ,Bb­ major ,1798-1800 ,2vn va vc ,Chamber 
19,Piano Concerto No.2 ,Bb­ major ,1788-1801 ,pf orch ,Orchestral 
20,Septet ,Eb­ major ,1799,cl bn hn vn va vc db ,Chamber 
21,Symphony No.1 ,C major ,1799-1800 ,orch ,Orchestral 
22,Piano Sonata No.11 ,Bb­ major ,1800,pf ,Keyboard 
23,Violin Sonata No.4 ,A minor ,1800-01 ,vn pf ,Chamber 
24,Violin Sonata No.5 ,F major ,1800-01 ,vn pf ,Chamber 
25,Serenade ,D major ,1801,"For flute, violin, viola ",Chamber 
