Title,Key,Date,Genre,vn,vc,pf,va,pf4h,cl/vn,orch,ob,cl,bn,hn,db,pf.1,"flute,","violin,",viola,v,pf/org,fl,sop,vv,ch,eh,fl/vn,ww,br,org,alt,ten,bass
Piano Trio No.1,Eb­ major,1792,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Trio No.2,G major,1792,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Trio No.3,C minor,1792,Chamber,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.1,F minor,1793,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.2,A major,1794,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.3,C major,1794,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
String Trio,Eb­ major,1794,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Quintet,Eb­ major,1795,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Sonata No.1,F major,1796,Chamber,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cello Sonata No.2,G minor,1796,Chamber,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonata for Piano Four Hands in D major,D major,1796,Keyboard,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.4 ('Grand Sonata'),Eb­ major,1796,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serenade,D major,1796,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Trio No.1,G major,1797,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Trio No.2,D major,1797,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
String Trio No.3,C minor,1797,Chamber,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.5,C minor,1795,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.6,F major,1796,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piano Sonata No.7,D major,1797,Keyboard,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trio in B-flat major ('Gassenhauer'),Bb­ major,1797,Chamber,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Violin Sonata No.1,D major,1797,Chamber,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Violin Sonata No.2,A major,1797,Chamber,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Violin Sonata No.3,Eb­ major,1797,Chamber,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
